Date,Player,Vegas_Line,AI_Pred,AI_Floor,AI_Ceiling,Pick,Edge,Stars,Actual_PTS,Result
2026-03-21,Josh Green,22.5,5.8,2.2,8.6,UNDER,-16.7,5,PENDING,PENDING
2026-03-21,Jeff Green,22.5,2.9,0.0,4.7,UNDER,-19.6,5,PENDING,PENDING
2026-03-21,Coby White,14.4,19.6,13.8,23.2,OVER,5.2,4,PENDING,PENDING
2026-03-21,Kon Knueppel,18.8,16.2,12.3,19.6,UNDER,-2.6,3,PENDING,PENDING
2026-03-21,Miles Bridges,15.4,11.9,9.9,15.6,UNDER,-3.5,4,PENDING,PENDING
2026-03-21,Moussa Diabaté,9.1,4.6,2.5,7.6,UNDER,-4.5,5,PENDING,PENDING
2026-03-21,Amen Thompson,17.8,15.1,12.5,19.6,UNDER,-2.7,3,PENDING,PENDING
2026-03-21,Jabari Smith Jr.,15.4,11.6,6.8,15.4,UNDER,-3.8,4,PENDING,PENDING
2026-03-21,Kevin Durant,26.8,24.6,21.0,29.5,UNDER,-2.2,3,PENDING,PENDING
2026-03-21,Reed Sheppard,15.4,13.5,8.0,16.2,UNDER,-1.9,3,PENDING,PENDING
2026-03-21,Tari Eason,10.1,8.6,5.2,10.2,UNDER,-1.5,3,PENDING,PENDING
2026-03-21,Darius Garland,20.2,21.9,14.0,25.8,OVER,1.7,3,PENDING,PENDING
2026-03-21,Derrick Jones Jr.,12.9,9.2,4.9,11.7,UNDER,-3.7,5,PENDING,PENDING
2026-03-21,Kawhi Leonard,28.1,23.7,19.7,26.6,UNDER,-4.4,5,PENDING,PENDING
2026-03-21,Kris Dunn,8.8,6.6,3.0,9.0,UNDER,-2.2,3,PENDING,PENDING
2026-03-21,Deandre Ayton,10.7,13.9,6.4,16.2,OVER,3.2,4,PENDING,PENDING
2026-03-21,Luka Dončić,33.2,28.4,25.0,38.4,UNDER,-4.8,4,PENDING,PENDING
2026-03-21,Rui Hachimura,7.9,10.3,6.3,14.7,OVER,2.4,3,PENDING,PENDING
2026-03-21,Jaylen Wells,12.2,10.1,5.5,15.3,UNDER,-2.1,3,PENDING,PENDING
2026-03-21,Bam Adebayo,21.0,27.3,18.2,27.8,OVER,6.3,4,PENDING,PENDING
2026-03-21,Norman Powell,20.2,15.7,15.2,21.0,UNDER,-4.5,4,PENDING,PENDING
2026-03-21,Bobby Portis,15.4,13.9,7.3,20.2,UNDER,-1.5,3,PENDING,PENDING
2026-03-21,Kevin Porter Jr.,17.8,15.0,8.6,18.8,UNDER,-2.8,3,PENDING,PENDING
2026-03-21,Kyle Kuzma,11.8,16.8,5.4,19.1,OVER,5.0,4,PENDING,PENDING
2026-03-21,Myles Turner,8.8,13.1,5.6,17.8,OVER,4.3,4,PENDING,PENDING
2026-03-21,Ousmane Dieng,9.9,8.3,0.0,11.9,UNDER,-1.6,3,PENDING,PENDING
2026-03-21,Dejounte Murray,17.6,19.6,14.5,24.8,OVER,2.0,3,PENDING,PENDING
2026-03-21,Jeremiah Fears,8.7,13.8,7.7,15.8,OVER,5.1,4,PENDING,PENDING
2026-03-21,Saddiq Bey,17.1,18.7,13.3,21.2,OVER,1.6,3,PENDING,PENDING
2026-03-21,Ajay Mitchell,13.6,15.7,11.3,19.0,OVER,2.1,3,PENDING,PENDING
2026-03-21,Alex Caruso,6.1,8.5,3.5,10.0,OVER,2.4,3,PENDING,PENDING
2026-03-21,Cason Wallace,8.5,6.4,3.3,8.5,UNDER,-2.1,3,PENDING,PENDING
2026-03-21,Chet Holmgren,15.2,17.1,9.9,21.2,OVER,1.9,3,PENDING,PENDING
2026-03-21,Isaiah Hartenstein,8.0,5.4,4.7,12.8,UNDER,-2.6,3,PENDING,PENDING
2026-03-21,Jared McCain,13.2,15.7,6.3,19.6,OVER,2.5,3,PENDING,PENDING
2026-03-21,Shai Gilgeous-Alexander,28.5,26.9,21.8,31.2,UNDER,-1.6,3,PENDING,PENDING
2026-03-21,Adem Bona,6.6,4.9,2.1,9.8,UNDER,-1.7,3,PENDING,PENDING
2026-03-21,Andre Drummond,9.1,6.0,2.0,9.7,UNDER,-3.1,4,PENDING,PENDING
2026-03-21,Justin Edwards,15.0,21.0,4.2,21.5,OVER,6.0,4,PENDING,PENDING
2026-03-21,VJ Edgecombe,22.4,26.8,9.3,27.3,OVER,4.4,4,PENDING,PENDING
2026-03-21,Collin Gillespie,13.1,9.1,5.4,17.7,UNDER,-4.0,4,PENDING,PENDING
2026-03-21,Devin Booker,27.9,24.2,18.3,31.6,UNDER,-3.7,4,PENDING,PENDING
2026-03-21,Jalen Green,22.5,19.0,11.2,23.6,UNDER,-3.5,4,PENDING,PENDING
2026-03-21,Jordan Goodwin,9.9,7.1,1.2,11.9,UNDER,-2.8,3,PENDING,PENDING
2026-03-21,Oso Ighodaro,9.5,4.7,2.8,8.8,UNDER,-4.8,5,PENDING,PENDING
2026-03-21,Ace Bailey,21.7,13.7,9.9,19.9,UNDER,-8.0,5,PENDING,PENDING
2026-03-21,Kyle Filipowski,15.4,11.6,5.4,15.5,UNDER,-3.8,4,PENDING,PENDING
2026-03-21,Alex Sarr,12.1,17.0,6.5,20.3,OVER,4.9,4,PENDING,PENDING
2026-03-21,Bilal Coulibaly,11.9,8.4,4.2,12.5,UNDER,-3.5,4,PENDING,PENDING
2026-03-21,Will Riley,14.7,11.7,4.0,13.6,UNDER,-3.0,5,PENDING,PENDING
2026-03-21,Onyeka Okongwu,14.4,10.2,6.6,18.4,UNDER,-4.2,4,PENDING,PENDING
2026-03-21,Donovan Mitchell,26.4,24.1,17.5,31.8,UNDER,-2.3,3,PENDING,PENDING
2026-03-21,Evan Mobley,20.8,16.3,13.6,22.5,UNDER,-4.5,4,PENDING,PENDING
2026-03-21,James Harden,21.3,19.6,17.4,22.4,UNDER,-1.7,3,PENDING,PENDING
2026-03-21,Max Strus,9.5,11.4,5.2,12.9,OVER,1.9,3,PENDING,PENDING
2026-03-21,Sam Merrill,10.7,12.4,4.6,17.0,OVER,1.7,3,PENDING,PENDING
2026-03-21,Cooper Flagg,21.4,20.1,13.8,20.6,UNDER,-1.3,5,PENDING,PENDING
2026-03-21,Daniel Gafford,9.4,13.7,7.4,15.0,OVER,4.3,4,PENDING,PENDING
2026-03-21,Khris Middleton,8.5,14.7,7.3,15.2,OVER,6.2,4,PENDING,PENDING
2026-03-21,Klay Thompson,10.8,12.9,6.7,16.2,OVER,2.1,3,PENDING,PENDING
2026-03-21,Naji Marshall,15.5,13.4,6.5,21.9,UNDER,-2.1,3,PENDING,PENDING
2026-03-21,P.J. Washington,13.5,11.8,9.4,13.4,UNDER,-1.7,5,PENDING,PENDING
2026-03-21,Brandin Podziemski,16.4,13.3,7.5,15.3,UNDER,-3.1,5,PENDING,PENDING
2026-03-21,De'Anthony Melton,15.5,11.7,7.7,16.9,UNDER,-3.8,4,PENDING,PENDING
2026-03-21,Gary Payton II,11.6,8.1,4.4,11.9,UNDER,-3.5,4,PENDING,PENDING
2026-03-21,Gui Santos,15.3,11.1,6.6,15.0,UNDER,-4.2,5,PENDING,PENDING
2026-03-21,Will Richard,7.6,5.9,2.4,10.0,UNDER,-1.7,3,PENDING,PENDING
